"","syl","let","imag","conc","assoc"
"time",1,4,4.13,2.47,7
"life",1,4,4.07,2.96,6.78
"home",1,4,6.5,6.25,6.88
"church",1,6,6.63,6.59,7.52
"mind",1,4,3.03,2.6,5.88
"door",1,4,6.6,7,7.96
"college",2,7,6.2,6.38,7.28
"girl",1,4,6.87,6.83,5.12
"university",5,10,6.53,5.87,7.2
"pressure",2,8,4.1,3.63,5.8
"spirit",2,6,3.43,1.86,5.72
"person",2,6,5.83,6.51,5.68
"river",2,5,6.63,6.83,7.52
"paper",2,5,6.3,6.89,7.68
"property",3,8,4.87,5.99,5.76
"earth",1,5,6.27,6.58,7.56
"effort",2,6,3.33,2.22,5.75
"letter",2,6,6.37,6.94,5.96
"hour",1,4,3.6,2.93,5.56
"volume",2,6,4.53,5.14,6.16
"trouble",2,7,3.53,2.25,5.08
"science",1,7,4.07,3.05,6.56
"series",2,6,4.47,3.88,5.36
"length",1,6,3.73,3.75,5.84
"attitude",3,8,2.77,1.83,5.6
"health",1,6,4.1,3.54,6.39
"poet",1,4,5.27,6.35,5.36
"lord",1,4,4.63,4.18,6.68
"king",1,4,6.27,6.34,7.5
"product",2,7,4.2,5.8,5.12
"event",2,5,2.9,3.72,5.04
"judge",1,5,6.27,6.25,7.04
"bottle",2,6,6.57,6.94,7.24
"leader",2,6,5.13,5.83,6.16
"valley",2,6,6.57,6.66,6.56
"master",2,6,4.97,5.53,5.28
"animal",3,6,6.1,6.75,7
"forest",2,6,6.63,6.69,9.12
"newspaper",3,9,6.57,6.56,6.12
"cell",1,4,6.47,6.63,7.52
"dream",1,5,4.6,3.03,5.44
"library",3,7,6.73,6.87,6.4
"duty",2,4,3.17,2.32,5.6
"coast",1,5,6.13,6.59,6.4
"victory",3,7,4.93,2.95,6.12
"circle",2,6,6.23,6,4.88
"contract",2,8,4.5,5.24,6.32
"stone",1,5,6.23,6.96,7.24
"disease",2,7,4.87,5.63,7.44
"silence",2,7,4.1,3.09,5.82
